year,unit,case,amount,url
2021,臺南市政府工務局,市道165線急水溪青葉橋改建工程規劃、設計及監造,14961600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210426&fn=BDM-1-53384980.xml
2021,臺南市政府工務局,"110年度臺南市政府工務局新營等17區工程委託勘查、設 計及監造開口契約",8730000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210205&fn=BDM-1-53328181.xml
2021,臺南市政府工務局,110年度臺南市政府工務局市道173線等11條市道及大區道工程委託勘查、設計及監造開口契約,9153200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210120&fn=BDM-1-53315524.xml
2020,臺南市政府環境保護局,「臺南市柳營六甲區域性垃圾掩埋場擋土牆及污水設施改善工程」委託設計監造技術服務計畫(含水土保持計畫(地質鑽探)),2221252,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201130&fn=BDM-1-53255579.xml
2021,臺南市政府交通局,110年停車場新闢建及改善工程委託設計監造案(開口契約),1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210709&fn=BDM-1-53449026.xml
2021,臺南市政府交通局,110年度臺南市全區新設、改善、搶修及維修交通設施工程委託設計監造服務案（開口契約）,7551600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210119&fn=BDM-1-53313043.xml
2020,臺南市立圖書館,臺南市立圖書館新總館地下停車場委託經營管理,950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200827&fn=BDM-1-53176465.xml
