year,unit,case,amount,url
2020,臺南市政府觀光旅遊局,109年度台南市海外展覽暨推廣活動勞務採購案,1990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026429.xml
2019,臺南市政府觀光旅遊局,2019大阪光之饗宴台南燈區裝置施作,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190919&fn=BDM-1-52875805.xml
2019,臺南市政府觀光旅遊局,日本東京紅椅頭觀光俱樂部行銷媒體案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190809&fn=BDM-1-52844126.xml
2019,臺南市政府觀光旅遊局,2019日本旅遊導覽書產品開發設計執行委託專業服務案,1995000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190725&fn=BDM-1-52831965.xml
