year,unit,case,amount,url
2020,臺南市政府觀光旅遊局,倒風內海濱海旅遊廊帶串聯計畫-第二期委託設計監造,1231212,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200619&fn=BDM-1-53119838.xml
2019,臺南市政府觀光旅遊局,臺南市新化區虎頭埤湖濱旅館BOT案履約管理諮詢顧問服務案,6230000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191128&fn=BDM-1-52937079.xml
2019,臺南市政府觀光旅遊局,倒風內海濱海旅遊廊帶串聯計畫委託設計監造,1218114,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190912&fn=BDM-1-52870770.xml
2019,臺南市政府觀光旅遊局,臺南市遊憩景區觀光建設委託規劃,2910000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190905&fn=BDM-1-52865600.xml
2019,臺南市政府觀光旅遊局,「臺南市中西區原魚市場促參前置作業及招商案」委託專業服務案,1960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190809&fn=BDM-1-52844422.xml
2019,臺南市政府觀光旅遊局,「2019臺南市水域遊憩體驗活動暨安全提升」案,2185000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190524&fn=BDM-1-52779703.xml
2019,臺南市政府觀光旅遊局,臺南市黃金海岸船屋部分空間委託經營管理案,1230000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52749469.xml
