year,unit,case,amount,url
2021,臺南市體育處,臺南市立田徑場跑道及設備整修工程委託規劃設計監造技術服務,4004197,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210927&fn=BDM-1-53512391.xml
2021,臺南市體育處,110年臺南市新營體育場桌球訓練室委託民間經營管理,36000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382811.xml
