year,unit,case,amount,url
2021,臺南市政府農業局,110年度臺南市濕地保育與生態遊憩軸帶盤點及整合可行性評估計畫,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210723&fn=BDM-1-53461419.xml
2020,臺南市政府農業局,109~110年度北門及八掌溪口重要濕地（國家級）推動環境教育及CEPA行動工作計畫,963000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200701&fn=BDM-1-53128469.xml
2019,臺南市仁德區公所,臺南市仁德區108年度里鄰長文康活動及業務會議,999000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190312&fn=BDM-1-52719621.xml
2021,臺南市政府觀光旅遊局,2021台南市台灣好行觀光公車綠色遊程推廣活動,1875000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211021&fn=BDM-1-53531889.xml
