year,unit,case,amount,url
2021,臺南市政府環境保護局,110年臺南市環境影響評估暨開發案件管理計畫,2680000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210601&fn=BDM-1-53415744.xml
2021,臺南市政府環境保護局,110年資訊暨資通安全管理計畫,3400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210527&fn=BDM-1-53412403.xml
2021,臺南市政府環境保護局,110年臺南市及全國環保志(義)工群英會計畫,2100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210506&fn=BDM-1-53395080.xml
2021,臺南市政府環境保護局,110年度臺南市環保志義工管理計畫,2530000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210429&fn=BDM-1-53389455.xml
2020,臺南市政府環境保護局,臺南市後壁區嘉安段0568-0000等16筆地號調查及監測計畫,4038000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201022&fn=BDM-1-53220706.xml
2020,臺南市政府環境保護局,109年臺南市廢棄物設施暨災後復建工程設計監造開口合約,5580000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200708&fn=BDM-1-53134701.xml
