year,unit,case,amount,url
2021,臺南市政府經濟發展局,110年度沙崙綠能科學城主題展覽及招商媒合計畫,5235000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211111&fn=BDM-1-53549564.xml
2021,臺南市政府經濟發展局,110年安平港灣招商引資提升城市競爭力產業座談暨交流會委託服務案,1650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211018&fn=BDM-1-53528185.xml
2021,臺南市政府經濟發展局,110年度臺南市全球經貿合作拓展輔導補助計畫,2880000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210922&fn=BDM-1-53508532.xml
2021,臺南市政府經濟發展局,110年臺南購物節委託專業服務案,7980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466938.xml
2021,臺南市政府經濟發展局,110年度臺南中小企業服務團執行計畫,2380000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466926.xml
2021,臺南市政府經濟發展局,臺南市工業區及產業發展紀錄片拍攝委辦案,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210727&fn=BDM-1-53463105.xml
2021,臺南市政府經濟發展局,台南商業營銷暨電商平台合作委託專業服務案,2900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210705&fn=BDM-1-53443482.xml
2021,臺南市政府經濟發展局,110年沙崙智慧綠能科學城招商引資交流活動暨人才培訓計畫,2400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210607&fn=BDM-1-53420441.xml
2021,臺南市政府經濟發展局,110年臺南市投資招商推動計畫,2938000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210524&fn=BDM-1-53409851.xml
2020,臺南市政府經濟發展局,109年度臺南市產業升級轉型技術平台示範計畫,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201012&fn=BDM-1-53210228.xml
