year,unit,case,amount,url
2020,臺南市政府都市發展局,臺南市小東路北側公營住宅興建工程委託設計暨監造技術服務案,64761500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200218&fn=BDM-1-53018280.xml
2019,臺南市政府都市發展局,月津港渡槽橋改造及公18廁所新建工程,14400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190411&fn=BDM-1-52742651.xml
2021,臺南市政府交通局,110年停車場新闢建及改善工程委託設計監造案(開口契約),1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210709&fn=BDM-1-53449026.xml
2021,臺南市南化區公所,110年度南化區公共工程(含災害復建)委託設計監造開口契約,4000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210409&fn=BDM-1-53371924.xml
