year,unit,case,amount,url
2021,臺南市政府經濟發展局,臺南市政府「一般工廠登記線上申辦系統及未登記工廠追蹤管控系統」勞務採購案,2350000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466903.xml
2021,臺南市政府經濟發展局,110年度臺南市未登記工廠管理及輔導勞務採購案,6200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210316&fn=BDM-1-53351293.xml
2020,臺南市政府經濟發展局,109年度臺南市地方產業創新研發推動計畫,3650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200409&fn=BDM-1-53059254.xml
2019,臺南市政府經濟發展局,108年臺南市工業相關部門溫室氣體減量管制執行方案推動計劃,2850000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190612&fn=BDM-1-52793043.xml
2019,臺南市政府經濟發展局,108年臺南購物節暨商展委託專業服務案,9400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52748714.xml
