year,unit,case,amount,url
2020,臺南市政府環境保護局,臺南市後壁區嘉安段0568-0000等16筆地號調查及監測計畫,4038000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201022&fn=BDM-1-53220706.xml
2020,臺南市政府環境保護局,109年臺南市環保夜市試辦推行計畫,1546500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201013&fn=BDM-1-53211384.xml
2020,臺南市政府環境保護局,興建區域型資源回收細分類廠先期可行性評估計畫,2271800,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201006&fn=BDM-1-53206606.xml
2020,臺南市政府環境保護局,109年國慶焰火環境清潔維護管理計畫,2806000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200925&fn=BDM-1-53199593.xml
2020,臺南市政府經濟發展局,109年度柳營科技工業區暨環保園區環境綜合管理及環境監測計畫,7540000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200427&fn=BDM-1-53073332.xml
