year,unit,case,amount,url
2021,臺南市政府文化局,安平原臺鹽日式宿舍委外經營管理案,370000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210924&fn=BDM-1-53510685.xml
2021,臺南市政府文化局,臺南山上花園水道博物館遊樂教育體驗設施設置及經營管理,2295000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210923&fn=BDM-1-53509241.xml
2021,臺南市政府文化局,市定古蹟原臺南州立農事試驗場宿舍群丁種官舍委外經營管理案,283200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210609&fn=BDM-1-53422102.xml
2021,臺南市政府文化局,市定古蹟原臺南運河安平海關委外經營管理案,253000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210416&fn=BDM-1-53378383.xml
