year,unit,case,amount,url
2021,臺南市政府工務局,臺南市政府工務局提升道路品質計畫工程設計、監造,6796325,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210903&fn=BDM-1-53496525.xml
2021,臺南市政府地政局,臺南市永康大同及竹園等2案市地重劃工程委託專案管理技術服務,13013000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210507&fn=BDM-1-53395729.xml
