year,unit,case,amount,url
2021,臺南市政府勞工局,「移工相關法令政策與宣導－動畫製作與播放」,1706504,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211008&fn=BDM-1-53522299.xml
2021,臺南市政府勞工局,110年度「提升移工查察暨諮詢服務品質」實施計畫,4158000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210304&fn=BDM-1-53342929.xml
2020,臺南市政府勞工局,移工相關法令政策與宣導－動畫製作與播放,1700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200930&fn=BDM-1-53203618.xml
2020,臺南市政府勞工局,109年度提升移工查察暨諮詢服務品質實施計畫,4300000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200109&fn=BDM-1-52990037.xml
2019,臺南市政府勞工局,外籍勞工相關法令政策與宣導－有線電視影片與動畫製播,2020000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190927&fn=BDM-1-52881574.xml
