year,unit,case,amount,url
2019,臺南市政府消防局,臺南市政府108年全民防衛動員暨災害防救（民安5號）演習場地布置委託專業服務案,2000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190326&fn=BDM-1-52730673.xml
2019,臺南市政府,2019WBSC世界盃少棒賽創意宣傳案,1500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190603&fn=BDM-1-52786374.xml
2019,臺南市政府,108年重大會議網路直播,1110000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190220&fn=BDM-1-52705282.xml
2019,臺南市政府經濟發展局,108年度臺南市地方產業創新研發推動計畫(地方型SBIR),3420000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190211&fn=BDM-1-52697574.xml
