year,unit,case,amount,url
2021,臺南市政府水利局,臺南市安平抽水站機組更新工程統包案,25098150,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211006&fn=BDM-1-53520638.xml
2021,臺南市政府水利局,臺南市水資源回收中心廠站設備延壽及節能工程,75500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210722&fn=BDM-1-53459759.xml
2021,臺南市政府水利局,110年度臺南市水門抽水站代操作與維護工作及機電整修-溪北區,52830000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210329&fn=BDM-1-53362518.xml
2021,臺南市政府環境保護局,110年度購置清潔人員安全鞋及安全雨鞋,2100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210907&fn=BDM-1-53498847.xml
