year,unit,case,amount,url
2021,臺南市政府環境保護局,臺南市農地土壤污染控制場址監督驗證計畫,34311000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210408&fn=BDM-1-53369315.xml
2021,臺南市政府環境保護局,110年臺南市水污染防治許可審查、清查及查核計畫,7191000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210326&fn=BDM-1-53361274.xml
2021,臺南市政府環境保護局,110年度臺南市噪音監測及機動車輛排氣管聲音辨識管制計畫,11027000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210316&fn=BDM-1-53351816.xml
2021,臺南市政府環境保護局,110年度臺南市有害空氣污染物稽查管制暨工廠突發事故應變管理計畫,9496000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210204&fn=BDM-1-53326966.xml
