year,unit,case,amount,url
2021,臺南市政府觀光旅遊局,「臺南運河遊河民間自提BOT案促參前置作業及招商」委託專業服務案,1240000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211108&fn=BDM-1-53546069.xml
2021,臺南市政府觀光旅遊局,臺南濱海軸帶扇形鹽田景點藝術執行案,12000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211104&fn=BDM-1-53543872.xml
2021,臺南市政府觀光旅遊局,濱海旅遊廊帶亮點打造計畫-扇鹽地景園區委託設計監造,3279827,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211014&fn=BDM-1-53526053.xml
2021,臺南市政府觀光旅遊局,「百年關嶺‧風華再造」觀光環境改善示範工程及水火同源「麒麟賜水」景觀營造工程委託設計監造,5443502,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211007&fn=BDM-1-53521772.xml
2021,臺南市政府觀光旅遊局,虎頭埤親子環教生態館及周邊景觀整體改善工程委託設計,1360000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211007&fn=BDM-1-53521674.xml
2021,臺南市政府觀光旅遊局,虎頭埤全齡式地景遊憩服務設施及環境改善工程及虎頭埤林間親子環教生態步道改善工程委託設計監造,6100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211001&fn=BDM-1-53516812.xml
2021,臺南市政府觀光旅遊局,「110年度台南旅遊網維護營運暨功能擴充及旅行台南APP整合建置」資訊服務採購案,2900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210803&fn=BDM-1-53469802.xml
2021,臺南市政府觀光旅遊局,110年度南關線觀光旅遊廊帶營造工程-第二期委託設計監造,1607682,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210506&fn=BDM-1-53395620.xml
2021,臺南市政府觀光旅遊局,雙春濱海遊憩區南側木棧道更新及園區設施修繕第二期工程委託設計、監造技術服務,1165931,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210226&fn=BDM-1-53340147.xml
2021,臺南市政府觀光旅遊局,臺南市黃金海岸水陸域遊憩整體規劃案,4200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210205&fn=BDM-1-53329015.xml
2020,臺南市政府觀光旅遊局,110年度以電信大數據分析臺南市觀光景點遊客動向案,1920000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53295571.xml
