year,unit,case,amount,url
2021,臺南市政府水利局,「三爺溪上游排水截流暨虎尾寮水資源回收中心功能改善及擴建工程(含代操作)」,776000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211012&fn=BDM-1-53523361.xml
2021,臺南市政府水利局,臺南市七股區雨水下水道系統規劃,2800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210820&fn=BDM-1-53485557.xml
2021,臺南市政府水利局,110年度急水溪水系及鹽水溪上游─水質淨化場委託操作技術服務,31500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210813&fn=BDM-1-53479825.xml
2021,臺南市政府水利局,臺南市虎尾寮污水下水道系統分支管網工程第一標,149340000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210511&fn=BDM-1-53398161.xml
2021,臺南市政府環境保護局,110年度臺南市空氣品質惡化應變管制計畫,5672000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210715&fn=BDM-1-53453590.xml
2021,臺南市政府環境保護局,110年度臺南市噪音監測及機動車輛排氣管聲音辨識管制計畫,11027000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210316&fn=BDM-1-53351816.xml
2020,臺南市政府環境保護局,臺南市後壁區嘉安段0568-0000等16筆地號調查及監測計畫,4038000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201022&fn=BDM-1-53220706.xml
