year,unit,case,amount,url
2021,臺南市政府經濟發展局,110年臺南市商業整合行銷輔導計畫,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210621&fn=BDM-1-53431027.xml
2021,臺南市政府經濟發展局,沙崙智慧綠能科學城總顧問委託服務案,1950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210610&fn=BDM-1-53424264.xml
2020,臺南市政府經濟發展局,109年臺南購物節–散步臺南好好玩委託專業服務案,7680000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200916&fn=BDM-1-53192594.xml
2020,臺南市政府經濟發展局,109年臺南市前瞻產業發展論壇,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200903&fn=BDM-1-53181801.xml
