year,unit,case,amount,url
2021,臺南市政府觀光旅遊局,2021臺南聖誕燈節主題燈飾布置設計執行委託專業服務案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211021&fn=BDM-1-53531924.xml
2021,臺南市政府觀光旅遊局,「2021臺南夏日音樂節焰火施放」委託專業服務案,1500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210927&fn=BDM-1-53512102.xml
2021,臺南市政府觀光旅遊局,「爭取2024台灣燈會在臺南-選址及整體策展先期規劃」委託專業服務案,2695000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210819&fn=BDM-1-53484344.xml
2021,臺南市政府觀光旅遊局,「2021臺南城市音樂節」委託專業服務案,4000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210604&fn=BDM-1-53419398.xml
2021,臺南市政府觀光旅遊局,「2021臺南市水域遊憩體驗活動暨安全提升」案,2540000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210526&fn=BDM-1-53411089.xml
2021,臺南市政府觀光旅遊局,「2021提升臺南市近岸海域水域遊憩活動安全巡查工作」案,1350000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53383120.xml
2020,臺南市政府觀光旅遊局,「2020臺南將軍漁港焰火暖場活動」委託專業服務案,3500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200909&fn=BDM-1-53185731.xml
2020,臺南市政府觀光旅遊局,「2020臺南將軍漁港暖身焰火施放」委託專業服務勞務採購案,2000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200903&fn=BDM-1-53182674.xml
2020,臺南市政府觀光旅遊局,「臺南市安心旅遊自由行旅客住宿優惠委託諮詢及申請文件審核與核撥作業」勞務採購案,3450000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200902&fn=BDM-1-53180414.xml
