year,unit,case,amount,url
2021,臺南市立圖書館,110年臺南市立圖書館新總館閱覽委外服務採購案,3772000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210414&fn=BDM-1-53374411.xml
2020,臺南市立圖書館,109年臺南市立圖書館新總館閱覽委外服務採購案,1434000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201127&fn=BDM-1-53253315.xml
2020,臺南市立圖書館,臺南市立圖書館新總館桌椅期刊櫃等家具財物採購,7349995,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201106&fn=BDM-1-53233537.xml
2020,臺南市立圖書館,臺南市立圖書館新總館烹飪教室財物統包,1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201106&fn=BDM-1-53233539.xml
2020,臺南市立圖書館,臺南市立圖書館新總館餐飲空間委託經營管理,390000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200902&fn=BDM-1-53180251.xml
2020,臺南市立圖書館,臺南市立圖書館新總館網路設備採購案,4650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200828&fn=BDM-1-53178300.xml
2020,臺南市立圖書館,臺南市立圖書館新總館地下停車場委託經營管理,950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200827&fn=BDM-1-53176465.xml
2020,臺南市立圖書館,臺南市立圖書館新總館多功能互動裝置建置案,3860000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200731&fn=BDM-1-53154885.xml
2020,臺南市立圖書館,臺南市立圖書館新總館設置機械式移動書櫃,10895472,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200624&fn=BDM-1-53124798.xml
2020,臺南市立圖書館,臺南市立圖書館新總館文學沙龍委託經營管理,250000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200624&fn=BDM-1-53124790.xml
2020,臺南市立圖書館,臺南市立圖書館新總館辦公空間建置財物統包,2960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200610&fn=BDM-1-53110291.xml
2019,臺南市立圖書館,臺南市東區裕文圖書館RFID系統建置案,3200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191219&fn=BDM-1-52961376.xml
2017,臺南市立圖書館,臺南市立圖書館新總館RFID暨座位管理系統委託資訊服務,57150000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20170616&fn=BDM-1-52164555.xml
2019,臺南市立圖書館,臺南市公共圖書館網路架構調整暨維護案,1655000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191025&fn=BDM-1-52904389.xml
2019,臺南市立圖書館,臺南市立圖書館新總館資訊機房建置,7750000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190125&fn=BDM-1-52689603.xml
