year,unit,case,amount,url
2021,臺南市政府水利局,曾文溪以北市管區域排水治理工程文化資產地表調查、施工監看及考古遺址鑽探調查評估委外技術服務(開口契約),2960024,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211105&fn=BDM-1-53544653.xml
2021,臺南市政府水利局,「110年度烏山頭水庫集水區特定水土保持區部分集水區廢止計畫」委託專業服務案,1000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211015&fn=BDM-1-53527447.xml
2021,臺南市政府水利局,臺南市管區域排水鹽原排水治理計畫,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211008&fn=BDM-1-53522485.xml
2021,臺南市政府水利局,柳營區八老爺滯洪池及應急抽水站治理工程,214041000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211004&fn=BDM-1-53518293.xml
2021,臺南市政府水利局,臺南市麻豆區總爺及東北勢排水治理工程委外測設監造技術服務(開口契約),4000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210928&fn=BDM-1-53513225.xml
2021,臺南市政府水利局,臺南市七股區雨水下水道系統規劃,2800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210820&fn=BDM-1-53485557.xml
2021,臺南市政府水利局,「臺南市管區域排水桔子溪排水系統規劃及治理計畫」,4500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210728&fn=BDM-1-53465115.xml
2021,臺南市政府水利局,臺南市水資源回收中心廠站設備延壽及節能工程,75500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210722&fn=BDM-1-53459759.xml
2021,臺南市政府水利局,110年度韌性防災措施-水情災情監測與監控設施建置採購案,3800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210624&fn=BDM-1-53435238.xml
2021,臺南市政府水利局,110年度臺南市污水下水道管線更新工程委託設計監造委託技術服務,1713000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210514&fn=BDM-1-53402066.xml
2021,臺南市政府水利局,110年度臺南市水門抽水站代操作與維護工作及機電整修-溪北區,52830000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210329&fn=BDM-1-53362518.xml
2021,臺南市政府水利局,臺南市曾文溪以北治水防洪工程委外測設監造技術服務(開口契約),3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210310&fn=BDM-1-53347915.xml
2021,臺南市政府水利局,110及111年臺南市政府水利局移動式抽水機維護操作搶險(開口契約)第4標,9500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210226&fn=BDM-1-53339971.xml
2021,臺南市政府水利局,110年度臺南市管區域排水設施範圍線劃設工作,5000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210224&fn=BDM-1-53337647.xml
2021,臺南市政府水利局,110及111年臺南市政府水利局移動式抽水機維護操作搶險及簡易抽水站維護操作(開口契約)第1標,8600000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210218&fn=BDM-1-53332619.xml
2021,臺南市政府水利局,110年度水土保持暨海岸復育工程測設監造契約,9000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210127&fn=BDM-1-53321028.xml
2020,臺南市政府水利局,永康創意設計園區區外排水工程(第一期),270386600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201202&fn=BDM-1-53258879.xml
