year,unit,case,amount,url
2021,臺南市政府農業局,臺南市有機農業促進區評估計畫委託專業服務案,1989000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53301321.xml
2020,臺南市政府農業局,臺南市玉井蒸熱處理廠委託經營管理,78680000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200420&fn=BDM-1-53067700.xml
2021,臺南市政府勞工局,110年度農業藝術類身心障礙者職業訓練,5131790,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210512&fn=BDM-1-53399425.xml
2021,臺南市下營區公所,110年度下營區公園綠地維護管理(開口契約),2960000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210115&fn=BDM-1-53310799.xml
2021,臺南市鹽水區公所,110年度鹽水區道路、公園綠地、停車場及糖鐵自行車道綠美化維護開口契約,4950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210331&fn=BDM-1-53365579.xml
