year,unit,case,amount,url
2021,臺南市政府勞工局,110年度短期就業方案諮詢及輔導,1300000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210929&fn=BDM-1-53514350.xml
2020,臺南市政府勞工局,109年度提升移工查察暨諮詢服務品質實施計畫,4300000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200109&fn=BDM-1-52990037.xml
2019,臺南市政府勞工局,「外籍勞工管理人員法令宣導暨觀摩會」,1096390,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190808&fn=BDM-1-52843606.xml
2020,臺南市政府教育局,臺南市110年校園安全及維護人力服務開口契約勞務採購(A區),24345600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201230&fn=BDM-1-53291686.xml
2019,臺南市政府教育局,臺南市109年校園安全及維護人力服務開口契約勞務採購(B區),29250000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191225&fn=BDM-1-52969049.xml
