year,unit,case,amount,url
2019,臺南市政府農業局,2020臺灣國際蘭展規劃設計執行案,20000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191113&fn=BDM-1-52921718.xml
2020,臺南市政府,臺南地方文化及產業系列節目製播,1620000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200121&fn=BDM-1-53000848.xml
2019,臺南市政府,「2020台南畫世代動畫影展暨徵件活動」採購案,2850000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190410&fn=BDM-1-52741795.xml
2019,臺南市政府,108年重大會議網路直播,1110000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190220&fn=BDM-1-52705282.xml
