year,unit,case,amount,url
2021,臺南市政府都市發展局,新化區城鎮核心整體規劃設計及監造案,8828111,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211013&fn=BDM-1-53524669.xml
2021,臺南市政府都市發展局,110年度臺南市環境景觀總顧問委託專業服務案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211013&fn=BDM-1-53524666.xml
2021,臺南市政府都市發展局,臺南市學甲區鄉村地區整體規劃委託技術服務案,3750000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210917&fn=BDM-1-53508110.xml
2021,臺南市政府都市發展局,110年度新營鐵道地景公園民眾參與建設成果計畫委託專業服務案,1997625,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210910&fn=BDM-1-53502385.xml
2021,臺南市政府都市發展局,"變更佳里都市計畫(第五次通盤檢討) 委託技術服務案",5940000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210818&fn=BDM-1-53482006.xml
2021,臺南市政府都市發展局,變更將軍（漚汪地區）都市計畫（第四次通盤檢討）委託技術服務案,2185000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210818&fn=BDM-1-53482009.xml
2021,臺南市政府都市發展局,臺南市中西區學產地整體規劃評估與都市計畫變更委託技術服務案,4240000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210813&fn=BDM-1-53479914.xml
2021,臺南市政府都市發展局,七股都市計畫整體開發規劃案,7800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210607&fn=BDM-1-53420423.xml
2021,臺南市政府都市發展局,變更大內都市計畫（第五次通盤檢討）委託技術服務案,1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210607&fn=BDM-1-53420421.xml
2021,臺南市政府都市發展局,110年度臺南築角創意營造輔導計畫案,4000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210407&fn=BDM-1-53369057.xml
2020,臺南市政府都市發展局,臺南市住宅中程計畫及基本居住水準清查改善計畫擬訂案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201221&fn=BDM-1-53279735.xml
2020,臺南市政府都市發展局,臺南市大鵬五村更新規劃招商案,3600000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200926&fn=BDM-1-53201244.xml
2020,臺南市政府都市發展局,臺南市自強新村更新規劃招商案,3500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200831&fn=BDM-1-53178935.xml
2020,臺南市政府都市發展局,臺南科學工業園區特定區計畫(新市區建設地區開發區塊A、B、C、D、E、N及O)整體規劃案,19200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200824&fn=BDM-1-53173078.xml
2020,臺南市政府都市發展局,臺南大學七股校區土地利用可行性規劃案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200731&fn=BDM-1-53155516.xml
2020,臺南市政府都市發展局,臺南市九六新村更新規劃招商案,4840000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200724&fn=BDM-1-53149708.xml
2020,臺南市政府都市發展局,擬訂「臺南市大南方執行綱要及方案計畫」委辦案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200708&fn=BDM-1-53135450.xml
2020,臺南市政府都市發展局,變更關廟都市計畫圖重製專案通盤檢討委託技術服務案,2850000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200608&fn=BDM-1-53108564.xml
2020,臺南市政府都市發展局,臺南市安南區社會住宅先期規劃案,1350000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200515&fn=BDM-1-53090199.xml
2020,臺南市政府都市發展局,變更白河都市計畫圖重製專案通盤檢討委託技術服務案,2400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200416&fn=BDM-1-53064711.xml
2020,臺南市政府都市發展局,臺南市平原核心城鎮風貌發展先期規劃案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200406&fn=BDM-1-53054733.xml
