year,unit,case,amount,url
2021,臺南市政府水利局,臺南市仁德區污水下水道系統第二期分支管網及用戶接管工程第8標,248000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211108&fn=BDM-1-53545353.xml
2021,臺南市政府水利局,臺南市管區域排水鹽原排水治理計畫,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211008&fn=BDM-1-53522485.xml
2021,臺南市政府水利局,110年度臺南市污水下水道管線更新工程委託設計監造委託技術服務,1713000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210514&fn=BDM-1-53402066.xml
2021,臺南市政府水利局,臺南市虎尾寮污水下水道系統分支管網工程第一標,149340000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210511&fn=BDM-1-53398161.xml
2021,臺南市政府水利局,110年臺南市政府水利局移動式抽水機維護操作搶險(開口契約)第3標,5000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210122&fn=BDM-1-53317343.xml
2020,臺南市政府水利局,永康創意設計園區區外排水工程(第一期),270386600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201202&fn=BDM-1-53258879.xml
