year,unit,case,amount,url
2021,臺南市新營區公所,110年度新營區轄內公共設施改善委託設計監造(開口契約),4980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299990.xml
2021,臺南市後壁區公所,110年度後壁區轄區內相關及復建工程委託設計監造技術服務(開口契約),7800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53301631.xml
2019,臺南市後壁區公所,108年度後壁區轄內相關工程委託設計監造技術服務(開口契約),7800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190307&fn=BDM-1-52715703.xml
