year,unit,case,amount,url
2021,臺南市政府工務局,110年度工務局資訊系統機房維護暨機房資訊設備更新及擴充案,2950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210118&fn=BDM-1-53312254.xml
2021,臺南市政府民政局,徵求電子票證發行機構合作發行110-112年度『臺南市市民卡』採購案,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210226&fn=BDM-1-53339427.xml
2020,臺南市政府民政局,110年臺南市戶役政資訊系統電腦軟硬體設備維護案,4800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201230&fn=BDM-1-53293001.xml
2020,臺南市政府民政局,109年臺南市戶役政資訊系統電腦軟硬體設備維護案,4950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200103&fn=BDM-1-52982320.xml
2019,臺南市政府民政局,臺南市政府民政局宗教資訊管理系統建置案,2000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190628&fn=BDM-1-52809380.xml
2021,臺南市政府都市發展局,110年度臺南市都市發展資訊系統擴充及修正案,5650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210430&fn=BDM-1-53390832.xml
2021,臺南市政府消防局,臺南市永華災害應變中心投影模組及相關設備汰換案,3460000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382193.xml
2020,臺南市政府消防局,臺南市政府消防局109年度永華及民治災害應變中心資通訊設備保養維護服務案,2750000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200102&fn=BDM-1-52978930.xml
2020,臺南市政府警察局,109年「臺南智慧巡簽系統」建置採購案,6650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201015&fn=BDM-1-53214684.xml
2019,臺南市政府衛生局,臺南市政府衛生局108年度機房設備保固暨局所電腦維護服務案,1653600,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190107&fn=BDM-1-52670898.xml
2019,臺南市政府勞工局,108年度電腦資訊類身心障礙者職業訓練,1202200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190517&fn=BDM-1-52773080.xml
2021,臺南市政府環境保護局,110年資訊暨資通安全管理計畫,3400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210527&fn=BDM-1-53412403.xml
2021,臺南市政府教育局,110年臺南市政府教育局電子郵件系統升級計畫,2611000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20211111&fn=BDM-1-53549340.xml
2020,臺南市政府教育局,109年臺南市政府教育局智慧網管平台聯合防護設備建置財物採購案,3900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201215&fn=BDM-1-53272291.xml
2019,臺南市政府教育局,108年臺南市政府教育局綠能機房建置資訊服務勞務採購案,14798000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191231&fn=BDM-1-52978628.xml
2019,臺南市政府教育局,臺南市教育局108年度前瞻國中小普通教室數位教學設備更新計畫,109710000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191224&fn=BDM-1-52967950.xml
2019,臺南市政府教育局,臺南市教育局108年度前瞻校園無線網路佈建計畫,60060000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191217&fn=BDM-1-52958731.xml
2021,臺南市政府交通局,110年資通安全維護案,1825000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210316&fn=BDM-1-53351997.xml
2020,臺南市政府交通局,大臺南交通教育主題館二期擴充計畫,1000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200511&fn=BDM-1-53085269.xml
2020,臺南市政府交通局,109年度臺南市公共自行車營運管理計畫(第2期),42053246,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200401&fn=BDM-1-53053493.xml
2020,臺南市政府交通局,109年度臺南市公共自行車營運管理計畫(第1期),7668180,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200206&fn=BDM-1-53010008.xml
2020,臺南市政府交通局,109年資通安全維護案,1512000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200122&fn=BDM-1-53001300.xml
2020,臺南市政府交通局,109年全球資訊網改版案,1482000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200121&fn=BDM-1-52999984.xml
2019,臺南市政府交通局,臺南市公共自行車智慧化整合示範計畫(第二期),8480000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190506&fn=BDM-1-52763230.xml
2021,臺南市政府經濟發展局,臺南市政府「一般工廠登記線上申辦系統及未登記工廠追蹤管控系統」勞務採購案,2350000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466903.xml
2019,臺南市政府經濟發展局,臺南市政府清查未登記工廠工作計畫,9100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190725&fn=BDM-1-52831287.xml
2019,臺南市政府經濟發展局,108年度臺南市綠能屋頂全民參與推動計畫委託技術案,2850000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52748678.xml
2020,臺南市停車管理處,109年臺南市違規車輛拖吊管理及網站查詢系統擴充整合維護案,1100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200724&fn=BDM-1-53149896.xml
2021,臺南市政府財政稅務局,臺南市政府薪資管理系統改版建置案,1235000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210527&fn=BDM-1-53412525.xml
2020,臺南市立南寧高級中學,"109 年度前瞻基礎建設數位建設計畫暨高中職資訊機房改善計畫財物採購",1983500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201012&fn=BDM-1-53210963.xml
2019,臺南市安定區安定國民小學,108-109年全國412-8185家庭教育諮詢專線話務系統設備更新暨硬體維運計畫,4340994,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190513&fn=BDM-1-52768883.xml
2019,臺南市政府警察局刑事警察大隊,108年刑案大數據分析平臺建置案,17318000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191230&fn=BDM-1-52975281.xml
