year,unit,case,amount,url
2019,臺南市政府經濟發展局,108年臺南市商業現代化輔導計畫,1470000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52748694.xml
2019,臺南市政府經濟發展局,108年臺南購物節暨商展委託專業服務案,9400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190418&fn=BDM-1-52748714.xml
2019,臺南市政府經濟發展局,108年臺南金讚百家好店徵選活動委託專業服務案,1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190403&fn=BDM-1-52738038.xml
2019,臺南市政府經濟發展局,108年臺南市商業整合行銷輔導計畫,2800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190222&fn=BDM-1-52706754.xml
