year,unit,case,amount,url
2021,臺南市政府環境保護局,110年度安定掩埋場委託操作暨轄內掩埋場委託清運滲出水計畫,23990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210118&fn=BDM-1-53312251.xml
2021,臺南市政府環境保護局,110年度臺南市城西垃圾滲出水處理廠委託操作維護管理,18227000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210108&fn=BDM-1-53305304.xml
2021,臺南市政府環境保護局,110年臺南市資源回收工作整合計畫,7499000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53300596.xml
2021,臺南市政府環境保護局,110年度臺南市廢棄物處理廠(場)監督專業服務計畫,7026000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210104&fn=BDM-1-53298348.xml
2020,臺南市政府環境保護局,109年臺南市環保夜市試辦推行計畫,1546500,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201013&fn=BDM-1-53211384.xml
2020,臺南市政府環境保護局,「歸仁將軍區域性垃圾掩埋場活化再利用工程」委託設計監造案,6790000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201006&fn=BDM-1-53206613.xml
