year,unit,case,amount,url
2021,臺南市政府環境保護局,110年大型資收機、袋袋相傳暨廚餘堆肥推廣計畫,4650000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210504&fn=BDM-1-53391821.xml
2021,臺南市政府環境保護局,110年臺南市垃圾減量計畫,5076000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210318&fn=BDM-1-53354106.xml
2021,臺南市政府環境保護局,110年臺南市資源回收多元再利用宣導計畫,6227000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53300602.xml
2020,臺南市政府環境保護局,臺南市廢棄物循環處理整體園區推動計畫,9080000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201211&fn=BDM-1-53269882.xml
2020,臺南市政府環境保護局,臺南市垃圾篩分機械處理計畫,38227000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201203&fn=BDM-1-53260041.xml
2020,臺南市政府環境保護局,「臺南市柳營六甲區域性垃圾掩埋場擋土牆及污水設施改善工程」委託設計監造技術服務計畫(含水土保持計畫(地質鑽探)),2221252,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201130&fn=BDM-1-53255579.xml
