year,unit,case,amount,url
2021,臺南市政府環境保護局,臺南市農地土壤污染控制場址適當措施改善計畫,18627000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210819&fn=BDM-1-53484167.xml
2021,臺南市政府環境保護局,110年事業增訂氨氮放流水限值稽查管制計畫,5191000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210419&fn=BDM-1-53378903.xml
2021,臺南市政府環境保護局,110年度安定掩埋場委託操作暨轄內掩埋場委託清運滲出水計畫,23990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210118&fn=BDM-1-53312251.xml
2019,臺南市政府經濟發展局,108年度臺南市工業區總顧問委託技術服務案,4880000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190923&fn=BDM-1-52877524.xml
