year,unit,case,amount,url
2020,臺南市文化資產管理處,原日軍步兵第二聯隊官舍群修復工程,156798692,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200527&fn=BDM-1-53098629.xml
2019,臺南市文化資產管理處,國定古蹟臺南三山國王廟損壞修復工程委託工作報告書,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190916&fn=BDM-1-52871506.xml
2019,臺南市文化資產管理處,國定古蹟臺南三山國王廟損壞修復工程委託監造及因應計畫,2930000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190730&fn=BDM-1-52834875.xml
2019,臺南市文化資產管理處,國定古蹟赤崁樓損壞調查,1500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190329&fn=BDM-1-52733864.xml
