year,unit,case,amount,url
2021,臺南市政府都市發展局,109至110年度危老重建輔導團委託專業服務案—整合提案與培訓計畫,5640000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210419&fn=BDM-1-53379514.xml
2021,臺南市政府都市發展局,109至110年度危老重建輔導團委託專業服務案—整合提案與培訓計畫,3760000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210630&fn=BDM-1-53440508.xml
2019,臺南市政府都市發展局,108年度臺南市自主更新輔導團暨人才培訓計畫案,4000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190829&fn=BDM-1-52859647.xml
2019,臺南市政府都市發展局,108年度臺南市環境景觀總顧問委託專業服務案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190130&fn=BDM-1-52693628.xml
