year,unit,case,amount,url
2021,臺南市立後甲國民中學,後甲國中110學年度學校外訂午餐財物採購,18900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210714&fn=BDM-1-53451494.xml
2021,臺南市立後甲國民中學,後甲國中風雨球場新建工程委託規劃設計監造勞務採購,1291201,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210429&fn=BDM-1-53389507.xml
2020,臺南市立後甲國民中學,後甲國中109學年度3年級戶外教育勞務採購,2261000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200710&fn=BDM-1-53137832.xml
2020,臺南市立後甲國民中學,後甲國中109學年度學校外訂午餐財物採購,18000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200618&fn=BDM-1-53117922.xml
