year,unit,case,amount,url
2020,臺南市停車管理處,臺南市前瞻立體停車場闢建工程委託專案管理技術服務暨後續擴充案,12182907,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200904&fn=BDM-1-53183866.xml
2020,臺南市停車管理處,臺南市東區文化中心停E5立體停車場新建工程,321584234,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200821&fn=BDM-1-53172209.xml
2020,臺南市停車管理處,109年臺南市違規車輛拖吊管理及網站查詢系統擴充整合維護案,1100000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200724&fn=BDM-1-53149896.xml
2020,臺南市停車管理處,臺南市東區東光路等3場停車場委託經營案,31040000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200324&fn=BDM-1-53045649.xml
2019,臺南市停車管理處,臺南市東區青年路停E8立體多目標停車場新建工程委託規劃設計服務暨後續擴充監造服務案,6208800,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190426&fn=BDM-1-52756542.xml
