year,unit,case,amount,url
2021,臺南市政府農業局,臺南市主要流域畜牧場污染防治盤點暨畜牧專區規劃評估委託專業服務,5590000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210521&fn=BDM-1-53408283.xml
2021,臺南市政府農業局,110年度臺南市農村再生專案管理輔導團隊與培根計畫,3720000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210330&fn=BDM-1-53363630.xml
2020,臺南市政府農業局,109-110年度嘉南埤圳重要濕地(國家級)埤塘環境監控計畫,1042000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200630&fn=BDM-1-53126773.xml
2020,臺南市政府農業局,109年度臺南市捉蛇為民服務開口契約,12160000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200318&fn=BDM-1-53040668.xml
2020,臺南市政府農業局,2020臺灣國際蘭展-戶外景觀佈景,1930000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200130&fn=BDM-1-53004495.xml
2019,臺南市政府農業局,108年度台南市災害漂流木清理勞務採購開口契約,1993000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190829&fn=BDM-1-52859922.xml
