year,unit,case,amount,url
2021,臺南市政府經濟發展局,110年臺南市商圈輔導服務計畫,2470000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210812&fn=BDM-1-53477858.xml
2021,臺南市政府經濟發展局,110年臺南購物節委託專業服務案,7980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466938.xml
2021,臺南市政府經濟發展局,臺南市工業區及產業發展紀錄片拍攝委辦案,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210727&fn=BDM-1-53463105.xml
2021,臺南市政府經濟發展局,台南商業營銷暨電商平台合作委託專業服務案,2900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210705&fn=BDM-1-53443482.xml
2021,臺南市政府經濟發展局,110年臺南市商業整合行銷輔導計畫,1980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210621&fn=BDM-1-53431027.xml
2021,臺南市政府經濟發展局,110年臺南好物電商平台及數位應用輔導計畫,3899990,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210610&fn=BDM-1-53424287.xml
