year,unit,case,amount,url
2021,臺南市政府,南市62102運用各種媒體宣導交通安全觀念及政策整合行銷案,1200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210630&fn=BDM-1-53439355.xml
2019,臺南市政府,108年臺南市形象短片電視廣告託播案（二）,2400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190805&fn=BDM-1-52840311.xml
2019,臺南市政府,2019WBSC世界盃少棒賽創意宣傳案,1500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190603&fn=BDM-1-52786374.xml
2019,臺南市政府,108年臺南市形象短片電視廣告託播案,2000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190304&fn=BDM-1-52712145.xml
