year,unit,case,amount,url
2021,臺南市立後甲國民中學,後甲國中風雨球場新建工程委託規劃設計監造勞務採購,1291201,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210429&fn=BDM-1-53389507.xml
2020,臺南市政府,臺南市安億公園主題公園工程規劃設計監造技術服務,1045133,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200121&fn=BDM-1-53000774.xml
2020,臺南市停車管理處,臺南市第二期立體停車場整體規劃及可行性評估,4980000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200106&fn=BDM-1-52985432.xml
2020,臺南市安定區安定國民小學,臺南市安定國小第二校區配置規劃及綜合教研中心新建工程委託規劃設計暨後續擴充監造,3058234,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201210&fn=BDM-1-53268755.xml
