year,unit,case,amount,url
2021,臺南市政府文化局,安平原臺鹽日式宿舍委外經營管理案,370000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210924&fn=BDM-1-53510685.xml
2021,臺南市政府文化局,臺南二二八與民主人權歷史常設展,3950000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210910&fn=BDM-1-53502386.xml
2021,臺南市政府文化局,2021藝術進區舞臺及硬體設備規劃執行,2110000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210820&fn=BDM-1-53485760.xml
2021,臺南市政府文化局,臺南sing時代之歌成果展演活動委託專業服務案,4500000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210803&fn=BDM-1-53469316.xml
2021,臺南市政府文化局,臺南左鎮化石園區扭蛋機台委託經營管理案,3104115,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210714&fn=BDM-1-53452980.xml
2021,臺南市政府文化局,市定古蹟原臺南州立農事試驗場宿舍群丁種官舍委外經營管理案,283200,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210609&fn=BDM-1-53422102.xml
2021,臺南市政府文化局,歷史建築原竹園町臺南州職員宿舍委外經營管理案,240000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210514&fn=BDM-1-53402609.xml
2021,臺南市政府文化局,臺南左鎮化石園區「龍飛鳳舞-恐龍與鳥的演化故事」特展製作及執行案,2700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210428&fn=BDM-1-53387783.xml
2021,臺南市政府文化局,市定古蹟原臺南運河安平海關委外經營管理案,253000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210416&fn=BDM-1-53378383.xml
2021,臺南市政府文化局,2021臺南文學推廣活動委託專業服務案,2900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210329&fn=BDM-1-53362550.xml
2021,臺南市政府文化局,「2021第十一屆臺南文學獎」規劃執行委託服務案,1700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210324&fn=BDM-1-53358959.xml
