year,unit,case,amount,url
2021,臺南市善化區公所,110年度善化區行道樹綠美化環境維持開口契約,3700000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210308&fn=BDM-1-53345068.xml
2021,臺南市佳里區公所,110年佳里公園及公園大道綠地維護管理開口契約,2798313,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53298579.xml
2020,臺南市佳里區公所,109年度轄內樹木修剪維護及天然災害行道樹、公園樹木搶修勞務開口契約,1183730,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026101.xml
2020,臺南市政府農業局,臺南市政府109年度「配合國土計畫推動農地資源空間規劃」計畫委外勞務採購,1972000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200605&fn=BDM-1-53108217.xml
2021,臺南市政府都市發展局,臺南市東區南台南站副都心暫予保留及周邊地區都計變更出流管制規劃書委託技術服務案,1536000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210730&fn=BDM-1-53468004.xml
2021,臺南市政府都市發展局,七股都市計畫整體開發規劃案,7800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210607&fn=BDM-1-53420423.xml
2020,臺南市政府都市發展局,變更白河都市計畫圖重製專案通盤檢討委託技術服務案,2400000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200416&fn=BDM-1-53064711.xml
2020,臺南市政府都市發展局,臺南市平原核心城鎮風貌發展先期規劃案,3000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200406&fn=BDM-1-53054733.xml
2019,臺南市政府都市發展局,變更安平區細部計畫（第二次通盤檢討）案,2786000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190426&fn=BDM-1-52756189.xml
2021,臺南市楠西區公所,110年下半年度臺南市楠西區公園綠地區道綠美化工作(開口契約),2610000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210721&fn=BDM-1-53458888.xml
2021,臺南市七股區公所,七股區第一公墓（大寮公墓）遷葬代起掘整地綠美化作業第二期（B、C區）勞務採購,13000000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210312&fn=BDM-1-53350030.xml
2021,臺南市政府觀光旅遊局,110年度南關線觀光旅遊廊帶營造工程-第二期委託設計監造,1607682,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210506&fn=BDM-1-53395620.xml
2020,臺南市政府觀光旅遊局,臺南市關子嶺溫泉區管理計畫檢討修訂委託專業服務勞務採購案,2777000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200506&fn=BDM-1-53081980.xml
2019,臺南市政府經濟發展局,柳營科技工業區二期自來水用地變更(委託技術服務),1900000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190710&fn=BDM-1-52817848.xml
2021,臺南市政府地政局,臺南市學甲區大灣農村社區土地重劃非都市土地開發許可作業,8120000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210902&fn=BDM-1-53495224.xml
2021,臺南市政府地政局,臺南市官田區社子社區農村社區土地重劃110年度先期規劃作業,1206219,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210901&fn=BDM-1-53494657.xml
2019,臺南市政府地政局,臺南市學甲區大灣社區農村社區土地重劃108年度先期規劃作業,1425000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190502&fn=BDM-1-52760510.xml
