year,unit,case,amount,url
2019,臺南市政府觀光旅遊局,韓國地區遊客至臺南旅遊行銷推廣案,2795000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191219&fn=BDM-1-52962661.xml
2019,臺南市政府觀光旅遊局,「2019臺南關子嶺溫泉美食節」委託專業服務案,3499000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190524&fn=BDM-1-52779572.xml
2019,臺南市政府觀光旅遊局,「108年度台南旅遊網與旅行台南APP維護營運暨功能強化」資訊服務採購案,1180000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190524&fn=BDM-1-52779496.xml
2019,臺南市政府觀光旅遊局,「2019臺南城市音樂節」委託專業服務案,3600000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190524&fn=BDM-1-52779593.xml
2019,臺南市政府觀光旅遊局,2019臺南主題實境遊戲規劃與執行委託專業服務案,1295000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190516&fn=BDM-1-52772340.xml
2019,臺南市政府觀光旅遊局,2019台南市政府國際形象廣告勞務採購案,3990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190426&fn=BDM-1-52755370.xml
2019,臺南市政府觀光旅遊局,2019國內旅展『臺南館』設計佈置及行銷委託專業服務案,2800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190328&fn=BDM-1-52733387.xml
